Date,Name,Year,Letterboxd URI,Rating
2022-05-02,"Men, Women & Children",2014,https://boxd.it/79Wm,5
2022-05-02,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2022-05-02,Donnie Darko,2001,https://boxd.it/2b2A,5
2022-05-02,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2022-05-02,Life Is Beautiful,1997,https://boxd.it/29Wm,5
2022-05-02,Watchmen,2009,https://boxd.it/1QE4,5
2022-05-02,Sidewalls,2011,https://boxd.it/2EiM,5
2022-05-02,It's Kind of a Funny Story,2010,https://boxd.it/Tfa,5
2022-05-02,The Truman Show,1998,https://boxd.it/18U8,5
2022-05-02,Submarine,2010,https://boxd.it/H4a,5
2022-05-02,The Name of the Rose,1986,https://boxd.it/2aUw,5
2022-05-02,"It's Not Me, I Swear!",2008,https://boxd.it/1H5k,5
2022-05-02,Loser,2000,https://boxd.it/1VKw,5
2022-05-02,Zombieland,2009,https://boxd.it/1En6,5
2022-05-02,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2022-05-02,Mr. Nobody,2009,https://boxd.it/1k44,5
2022-05-02,A Beautiful Mind,2001,https://boxd.it/2amk,5
2022-05-02,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2022-05-02,The Young and Prodigious T.S. Spivet,2013,https://boxd.it/4WDi,5
2022-05-02,The Help,2011,https://boxd.it/EDm,5
2022-05-02,Lars and the Real Girl,2007,https://boxd.it/21tG,5
2022-05-02,Psycho,1960,https://boxd.it/2ab2,5
2022-05-02,American Psycho,2000,https://boxd.it/28Vs,5
2022-05-02,City Island,2009,https://boxd.it/1qmy,5
2022-05-02,The Brand New Testament,2015,https://boxd.it/aPMO,5
2022-05-02,Hidden Figures,2016,https://boxd.it/dgS4,5
2022-05-02,Captain Fantastic,2016,https://boxd.it/b2K2,5
2022-05-02,Across the Universe,2007,https://boxd.it/23X4,5
2022-05-02,Mustang,2015,https://boxd.it/baaw,5
2022-05-02,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,5
2022-05-02,American Beauty,1999,https://boxd.it/71Y,5
2022-05-02,Get Out,2017,https://boxd.it/eOCm,5
2022-05-02,American History X,1998,https://boxd.it/2bdo,5
2022-05-02,City of God,2002,https://boxd.it/2a2a,5
2022-05-02,Elite Squad,2007,https://boxd.it/20YI,4.5
2022-05-02,Elite Squad: The Enemy Within,2010,https://boxd.it/Jx4,5
2022-05-02,Snowden,2016,https://boxd.it/9CWO,5
2022-05-02,Batman Begins,2005,https://boxd.it/2aIg,5
2022-05-02,Unbreakable,2000,https://boxd.it/1XV2,5
2022-05-02,Your Name.,2016,https://boxd.it/cUqs,5
2022-05-02,The Sixth Sense,1999,https://boxd.it/29Js,5
2022-05-02,The Way He Looks,2014,https://boxd.it/70yA,5
2022-05-02,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2022-05-02,The Man from the Future,2011,https://boxd.it/2vkO,5
